Land_ID;Land
0;Unbekannt
1;Schweiz
99;Liechtenstein
100;Aegypten
101;Algerien
102;Argentinien
103;Australien/Ozean.
105;Belgien
106;Brasilien
107;Bulgarien
110;Chile
111;Cypern
114;Dänemark
115;Deutschland
119;England
122;Finnland
123;Frankreich
126;Griechenland
129;Holland
130;Honkong
133;Indien
134;Iran
135;Irland
136;Island
137;Israel
138;Italien
141;Japan
142;Jugoslawien
145;Kanada
146;Kenya
147;Korea
150;Libyen
154;Malaysia
155;Marokko
156;Mexiko
159;Neuseeland
160;Nordirland
161;Norwegen
164;Oesterreich
167;Pakistan
168;Peru
169;Philippinen
170;Polen
171;Portugal
174;Saudi Arabien
175;Schottland
178;Spanien
179;Sri Lanka
180;Südafrika
181;Sudan
182;Syrien
185;Thailand
186;Tschechische Republik
187;Tunesien
188;Türkei
191;Ungarn
192;Uruguay
193;USA
194;übriges Afrika
197;übriges Europa
198;Schweiz
199;Militär
200;Katar
201;Kolumbien
202;Luxemburg
203;Ver.Arab.Emirate
204;Baltische Staaten
205;Belarus (Weissrussland)
206;China (ohne Hongkong)
207;Indonesion
209;Kroatien
210;Liechtenstein
211;Rumänien
224;Russische Föderation
212;Russland
213;Singapur
214;Slowakische Republik
215;Slowenien
216;Taiwan
218;Ukraine
219;übrige Golfstaaten
220;übriges Mittelamerika, Karibik
225;übriges Mittelamerika
221;übriges Süd- und Ostasien
222;übriges Südamerika
223;übriges Westasien
172;Unbekannt1